x,y
0,5.060757866500104
0,4.589827476420978
0,4.334873541664157
0,5.175538169552448
0,5.981996155416456
0,5.867756989533866
0,2.838004913288411
0,4.2945356607223335
0,5.831654569836017
0,7.5783085304281705
0,3.424651730095765
0,4.115366300465826
0,6.190360583885885
0,3.183462476538756
0,3.352700322188059
0,3.85819086432241
0,5.414750680323683
0,5.963084941766466
0,5.467279393859638
0,4.633188191924895
0,6.7386703232562395
0,5.256141699358178
0,4.023503490278271
0,3.5476761779339965
0,4.919080148951726
0,4.8187851531475765
0,6.531126461433651
0,5.387805050134466
0,5.216981477529195
0,3.6866996760489186
0,4.304013699963826
0,4.1021059462609
0,4.7063353429645955
0,4.441445397281701
0,2.270455853566978
0,4.629558582953424
0,6.46916157302208
0,4.758608423998567
0,4.929264409975096
0,4.708640711590219
0,4.933722174774795
0,7.39952051948847
0,6.5689483669058415
0,2.882977759077509
0,3.1563874813959
0,4.43276743567673
0,2.8100943035383104
0,4.236734919058025
0,2.563952578290293
0,5.286095198365525
1,4.119472717973165
1,5.35298169727709
1,5.006323982352632
1,6.298981737722784
1,3.3949946927590595
1,6.8617665120254605
1,4.4233339758794825
1,3.675788067797231
1,6.115174743469183
1,6.47001238344623
1,7.105605261687672
1,5.041988468213212
1,2.6015307559202903
1,5.733779137473137
1,2.9561868808245646
1,4.492561076959769
1,3.77013673412935
1,5.916665058177166
1,4.077807052837288
1,3.0923792287175202
1,3.9299141906008828
1,4.6525360991501445
1,4.801543385160057
1,4.41520759839852
1,3.5422485461271522
1,5.465722495172611
1,6.925556308399351
1,4.583902161460863
1,3.8913049155188753
1,4.780419350211438
1,2.639196519556539
1,4.811046942965894
1,6.399607220988069
1,4.131377102645059
1,4.791028266445981
1,3.7351071333455046
1,4.990860843323526
1,2.7518061549252177
1,2.3403548542846173
1,4.343136214162978
1,2.727491679542962
1,5.0827105349506985
1,6.86926531127129
1,1.023723566530071
1,4.5888496979681035
1,6.647353196065047
1,4.467470910596494
1,5.1701153535617195
1,5.522131270176159
1,5.18500541542598
2,5.049580106856414
2,5.731845006139579
2,5.114352965989709
2,5.858363771716499
2,3.132478519897676
2,5.300359240279652
2,3.455586953330119
2,2.2845570229776233
2,5.314962953803759
2,4.372918122503481
2,4.257942724701186
2,4.566313047145093
2,3.9809728658552084
2,5.370416745021954
2,5.725735952809647
2,5.239570591842174
2,6.329785041834747
2,4.995511506692219
2,4.159512064795751
2,4.498646648426297
2,4.149230241619649
2,4.467823620012403
2,4.0303736944551325
2,6.329382183052874
2,5.728364630533185
2,3.984261844706401
2,4.6340930476051705
2,4.590533789617197
2,8.13310888632161
2,3.5815694483283593
2,5.916662896307464
2,4.821536089659848
2,4.380623546480493
